皮爾力巴斯直屬隊員	Philipas' Soldier	필리파스 직속 부대원
指揮官 巴塞寧	Commander Vacenin	지휘관 바세닌
上級長官 皮爾力巴斯	Senior Officer Philipas	선임장교 필리파스
軍官皮爾利克斯	Officer Felix	장교 필릭스
脆弱的貓頭鷹雕像	Weak Owl Sculpture	약한 부엉이 조각상
恐懼的貓頭鷹雕像	Scared Owl Sculpture	두려운 부엉이 조각상
老實的貓頭鷹隊長	Sincere Owl Sculpture	성실한 대장 부엉이
意志的貓頭鷹雕像	Devoted Owl Sculpture	의지의 부엉이 조각상
痛苦的貓頭鷹雕像	Troubled Owl Sculpture	괴로운 부엉이 조각상
部下貓頭鷹3	Subordinate Owl 3	부하 부엉이3
我們只是為了人類的靈魂而存在的嗎？	Do we exist only for guiding humans' souls?	우리는 인간의 영혼을 위해서만 존재하는 걸까?
士兵 杜米尼克	Soldier Dominic	병사 도미니크
士兵 山姆森	Soldier Samson	병사 샘슨
士兵 福爾特	Soldier Poulter	병사 폴터
指揮官 朱利安	Commander Julian	지휘관 줄리안
你能不能去貝爾圖伊交叉路上支援指揮官歐路克的部隊呢？	Won't you support Commander O'Rourke's unit at the Veltui Crossroads?	벨투이 교차로에서 지휘관 오루크 부대를 지원해주지 않겠나?
指揮官 歐路克	Commander O'Rourke	지휘관 오루크
離開的貓頭鷹雕像	Substitute Owl Sculpture	떠나가는 부엉이 조각상
士兵 卡爾路斯	Soldier Kallus	병사 칼루스
士兵 戴伊紐斯	Soldier Dainus	병사 다이뉴스
定居的貓頭鷹雕像	Settled Owl Sculpture	정착한 부엉이 조각상
人類的靈魂為什麼會有如此多的東西呢？	Why do human souls contain so many things?	인간의 영혼은 왜 그리 많은 것을 품고 있을까요?
聯合調查團普雷伊	Joint Investigation Unit Member Frey	합동조사단 프레이
聯合調查團 普雷伊	Joint Investigation Unit Member Frey	합동조사단프레이
聯合調查團 優寇特	Joint Investigation Unit Member Ukirt	합동조사단 유커트
老實的貓頭鷹隊長雕像	Earnest Owl Chief Sculpture	성실한 대장 부엉이 조각상
變弱的貓頭鷹雕像	Weak Owl Sculpture	약해진 부엉이 조각상
我的同伴們能夠平安抵達奧施莉奈女神身邊嗎？	Do you think my allies can reach Goddess Ausrine safely?	제 동료들이 아우슈리네 여신께 무사히 닿을 수 있을까요?
暈倒的傳令	Fallen Messenger	쓰러진 전령
警備 兵萊爾	Guard Lyle	경비병 라일
警備兵 諾瑪比斯	Guard Nomabis	경비병 노마비스
你能幫忙找回被偷的補給品嗎？	Can you retrieve the lost supplies?	당신이 도둑맞은 보급품을 되찾아 주시지 않겠습니까?
時空法師 莎比納	Chronomancer Sabina	크로노맨서 사비나
獵人 塔洛斯	Hunter Talus	헌터 탈러스
王國軍 蕾堤亞	Royal Army Guard Retia	왕국군 레티아
這麼快啊？有沒有漏網之魚呢？	That fast? Have you not missed any of them?	이렇게 빨리? 혹시 놓친 녀석들은 없어?
你能消滅那些傢伙，幫忙把牠們的腳趾甲帶回來給我嗎？	Can you catch them and get me those claws?	당신이 녀석들을 때려잡고 그 발톱을 좀 가져다 줄 수 있겠어?
警備兵 葛普坦	Guard Gofden	경비병 고프덴
副官 漢斯	Adjutant General Hans	부관 한스
可以請你消滅那些傢伙嗎？	Can you take care of them?	녀석들을 좀 처리해 주실 수 있겠습니까?
葳荷米娜凱利奧特	Wilhelmina Carriot	빌헬미나 캐리어트
可以請你消滅怪物，把涼爽糖果袋過來嗎？	Can you get defeat those monsters and get back the refreshing candies?	몬스터들을 처치하고 상쾌한 알사탕을 가져와 주실 수 있겠습니까?
你能在奈勃基亞城堡消滅怪物並取得石化標本嗎？	Can you defeat the monsters in Neiveikiama Castle and get me petrified samples?	네베키아 성채에서 몬스터들을 처치하고 석화표본을 구해줄 수 있겠나?
我正在考慮，你能以後再來嗎？	I'm still thinking so can you come back later?	생각 중이니까 나중에 다시 와주겠어?
現在要去看看嗎？	Shall we go now?	이제 가볼까?
後防部隊士兵	Rearguard Unit Soldier	후방부대 병사
塔上還有很多怪物嗎？	Are there still a lot of monsters in the tower?	아직도 탑에 몬스터가 많나요?
詭異的燈	Suspicious Lamp	수상한 램프
軍官 達扭斯	Officer Danus	장교 다뉴스
士兵 羅伊	Soldier Roy	병사 로이
分隊長 約翰	Squad Commander Johan	분대장 요한
達扭斯的偵察兵	Danus' Scout	다뉴스의 정찰병
亞佳伊拉弗羅里的碑文	Epitaph of Agailla Flurry	아가일라 플러리의 비문
村民	Villager	마을 사람
姆杰老人	Old Man Moses	모제 영감
村莊青年 凱伊希	Villager Cahill	마을 청년 케이힐
