我的成就	My Achievements	나의 업적
伺服器排名	Server Ranking	서버 랭킹
아베일레스트	Availest	아베일레스트
3小時 16分	3 hours 16 minutes	3시간 16분
書名	Book Name	책이름
所受傷害	Damage Received	받은 데미지
技術紅利	Technique Bonus	테크닉 보너스
迴避紅利	Evasion Bonus	회피 보너스
清除時間	Clear Time	클리어 시간
總分	Total Score	총 점수
10分	10 minutes	10분
10秒	10 seconds	10초
自動販賣機名稱	Vending Machine Name	자판기 이름
BUFF自動販賣機	Buff Vending Machine	버프 자판기
馬車選單	Carriage Menu	마차메뉴
挑選	Casting	캐스팅
意志力	Psychokinesist	사이코키네스스트
幾階	How many circles	몇 서클
可轉職通知	Advancement Alarm	전직 가능 알람
顯示對話框	Show Chat Balloon	말풍선 표시
畫面上方顯示大喊內容	Show Shouts on Top	화면 상단에 외치기 내용 표시
隊伍名稱	Team Name	팀이륨
角色名稱	Character Name	캐릭이륨
젼샤	Warrior	젼샤
設定	Settings	설정
NPC名稱	NPC Name	엔피씨이름
比較	Compare	비교
插圖	Illustration	일러스트
選擇對話	Select a conversation	대화 선택
Text Help	Text Help	텍스트 헬프
任務情報	Quest Information	퀘스트 정보
我的交易目錄	My Trading List	내 거래 목록
輸入	Enter	입력
對方名稱	Other Player's Name	상대방이름
參與遊戲	Join Game	게임 참여
預設噴槍	Spray Presets	스프레이 프리셋
公會	Guild	길드
名單	List	명단
新消息	News	새소식
公會任務	Guild Mission	길드미션
連線中的成員人數	Members Online	접속중인 구성원 수
上一頁	Previous Page	이전 페이지
下一頁	Next Page	다음 페이지
檢索輸入的 ID。	Enter the ID to search	입력한 ID를 검색합니다
關閉名譽殿堂。	Close the Hall of Fame	명예의 전당을 닫습니다
輸入要檢索的 ID。	Enter the ID to search	검색할 ID를 입력합니다
請輸入數量。	Please enter a quantity	수량을 입력하세요
사울레이 어쩌고	What about Siauliai	사울레이 어쩌고
序曲	Intro	인트로
重量	Weight	무게
怪物體力量條	Monster HP Bar	몬스터 체력게이지
鍵盤戰士	Keyboard Warrior	키보드 워리어
擊殺	Kills	킬
99分 99秒	99 minutes 99 seconds	99분 99초
38000 分	38000 points	38000 점
已提升的神速藥水	Enhanced Speed Potion	향상된 신속의 물약
職業	Profession	직업
隊伍	Team	팀
咒語力	Spell Power	주문력
防禦力	Defense	방어력
