無_helmet	Empty_helmet	없음_helmet
角鬥士頭盔	Murmillo Helmet	무르밀로 헬멧
瘟疫醫生頭盔	Plague Doctor Helmet	플레이그닥터 헬멧
心動結婚禮服頭紗	Heart-Throb Wedding Veil Costume	두근두근 웨딩 면사포 코스튬
頭套[女]	Helmet [Female]	헬멧[여성]
魚缸頭盔套裝	Fish Tank Helmet	어항 헬멧 코스튬
頭盔[共用]	Helmet	헬멧[공용]
潛水頭盔套裝	Diver Helmet	다이빙 헬멧 코스튬
龍騎士頭盔	Dragoon Helmet	드라군 헬멧
傑克南瓜燈頭盔	Jack-o'-Lantern Helmet	잭오랜턴 헬멧
魯道夫頭盔套裝	Rudolph Helmet	루돌프 헬멧 코스튬
無_armband	Empty_armband	없음_armband
赤紅臂環	Red Armband	붉은 암밴드
臂環	Armband	암밴드
結繩臂環	Knotted Armband	매듭진 암밴드
長臂環	Long Armband	긴 암밴드
羽毛臂環	Feather Armband	깃털 장식 암밴드
流蘇臂環	Tasseled Armband	술달린 암밴드
太初救援者臂環	Beginning of Savior Armband	태초의 구원자 암밴드
首領臂環	Chief Armband	치프 암밴드
銀色臂環	Silver Armband	실버 암밴드
鑽石臂環	Diamond Armband	다이아 암밴드
流蘇臂環	Alcohol Decoration Armband	술 장식 암밴드
薩滿臂環	Shaman Armband	샤먼 암밴드
東亞臂環	Orient Armband	오리엔트 암밴드
黃金臂環	Golden Armband	골든 암밴드
葉紋臂環	Leaf Pattern Armband	잎사귀 무늬 암밴드
蜻蜓臂環	Dragonfly Armband	잠자리 암밴드
有感臂環	Feelings Armband	느낌있는 암밴드
蝴蝶結臂環	Ribbon Arm Band	리본 암밴드
按讚腕飾	Thumbup Armband	엄지척 암밴드
第1名臂環	Guild Battle 1st Place Armband	길드 배틀 1위 암밴드
第2名臂環	Guild Battle 2nd Place Armband	길드 배틀 2위 암밴드
第3名臂環	Guild Battle 3rd Place Armband	길드 배틀 3위 암밴드
先驅者臂環	Class President Arm Band	선도 암밴드
骷髏臂環	Skull Arm Band	백골 암밴드
巴尼茲臂環	Bunnies Arm Band	바니즈 암밴드
純白臂環	White Nurse Arm Band	순백의 암밴드
地球的幸福臂環	G9 Armband	지구의 행복 암밴드
祈禱地球幸福的救援者所配戴的臂環。	G9 Savior's Armband	지구가 행복해지기를 기원하는 구원자가 착용하는 암밴드입니다.
迪歐尼斯臂環	Dionys Armband	디오니스 암밴드
無_hair	No_hair	없음_hair
型男	Terius	테리우스
髮型[男性]	Hairstyle [Male]	헤어[남성]
波浪捲髮	Dandy Wave Curl	댄디 웨이브컬
後梳短捲髮	Root Lifted Wave Hairstyle	올림 웨이브
貴族馬尾辮	Noble Ponytail	노블 포니테일
雞冠頭飾(男)	Cockatrice Head (Male)	코카트리스 헤드(남)
頭套[男]	Helmet [Male]	헬멧[남성]
飛機頭	Quiff Style	퀴프 컷
貴族丹迪頭	Noble Dandy Cut	노블 댄디 컷
後捲燙髮	Curling Back Perm	컬링 백 펌
髮髻潮男頭	Upper-bind Two-block	어퍼바인드 투블럭
潮男頭	Twoblock	투블럭
小王子捲髮	Prince Waves	프린스 웨이브
中等短髮	Medium Cut	미디엄 커트
不對稱長髮	Asymmetric Long Cut	비대칭 롱 컷
奇金捲毛狗頭套(男)	Fried Chicken Poodle Head (Male)	치킨 푸들 헤드(남)
燕尾服貓咪頭套(男)	Tuxedo Cat Head (Male)	턱시도 냥이 헤드(남)
波波小獅王頭套(男)	Popolion Head (Male)	포포리온 헤드(남)
企鵝頭套(男)	Penguin Head (Male)	펭귄 헤드(남)
粉紅小花怪頭套(男)	Hanaming Head (Male)	하나밍 헤드(남)
凱帕頭套(男)	Kepa Head (Male)	케파 헤드(남)
雙馬尾	Curvy Wave Twintail	볼륨웨이브 트윈테일
髮型[女性]	Hairstyle [Female]	헤어[여성]
螺旋捲髮	Curvy Wave	볼륨웨이브
貴族長髮	Noble Long	노블 롱
短捲髮	Short Cut Firm	숏 컷 펌
雞冠頭飾(女)	Cockatrice Head (Female)	코카트리스 헤드(여)
長捲髮	Long-Wave Perm	롱 웨이브 펌
自然捲髮	Natural Wave	내추럴 웨이브
貴族捲燙髮	Noble Wave Perm	노블 웨이브 펌
緞帶雙包頭	Ribbon-ornamented Double Buns	리본장식 더블 번
不對稱俐落短髮	Asymmetric Blend Cut	비대칭 블렌드컷
盤髮	Upstyle Hair	업스타일 헤어
蓬鬆馬尾	Natural Ponytail	내추럴 포니테일
奇金捲毛狗頭套(女)	Fried Chicken Poodle Head (Female)	치킨 푸들 헤드(여)
燕尾服貓咪頭套(女)	Tuxedo Cat Head (Female)	턱시도 냥이 헤드(여)
波波小獅王頭套(女)	Popolion Head (Female)	포포리온 헤드(여)
企鵝頭套(女)	Penguin Head (Female)	펭귄 헤드(여)
粉紅小花怪頭套(女)	Hanaming Head (Female)	하나밍 헤드(여)
凱帕頭套(女)	Kepa Head (Female)	케파 헤드(여)
黃色隱形眼鏡	Yellow Contact Lenses	노란색 렌즈
隱形眼鏡	Contact Lenses	렌즈
紫羅蘭隱形眼鏡	Violet Contact Lenses	바이올렛 렌즈
緋紅隱形眼鏡	Crimson Contact Lenses	크림슨 렌즈
黑色隱形眼鏡	Black Contact Lenses	블랙 렌즈
粉紅愛心隱形眼鏡	Pink Heart Contact Lenses	핑크 하트 렌즈
閃亮隱形眼鏡	Shiny Contact Lenses	반짝이 렌즈
灰色隱形眼鏡	Grey Contact Lenses	그레이 렌즈
橘色隱形眼鏡	Orange Contact Lenses	오렌지색 렌즈
褐色隱形眼鏡	Brown Contact Lenses	브라운 렌즈
松糕頭盔套裝	Sweet Dumpling Helmet Costume	송편 헬멧 코스튬
豐饒的中秋節松糕。	Sweet Dumpling	풍성한 한가위의 송편 입니다.
黃金財犬玩偶頭套	Golden Puppy Head	복실복실 황금개 헬멧 코스튬
24K金財犬玩偶頭套	24K Gold Bar Pup Helmet	24K 금괴 멍멍 헬멧 코스튬
金剛天狗武士頭盔	Golden Dog Warrior Helmet	금강불개 무사 헬멧 코스튬
無_weapon	Empty_weapon	없음_weapon
老舊短劍	Old Gladius	오래된 글라디우스
單手劍[斬擊]	One-handed Sword [Slash]	한손검[베기]
短劍	Gladius	글라디우스
簡陋偃月刀	Crude Falchion	크루드 폴쳔
簡陋卡斯卡拉劍	Crude Kaskara	크루드 카스카라
五指劍	Cinquedea	친퀘데아
軍刀	Sabre	사브르
彎刀	Shamshir	샴시르
單刃刀	Scimitar	시미터
波形刀	Kris	크리스
刺刀	Snickersnee	스니커스니
老舊彎刀	Old Shamshir	오래된 샴시르
老舊單刃刀	Old Scimitar	오래된 시미터
士兵的短劍	Soldier's Gladius	병사의 글라디우스
村長的偃月刀	Mayor's Falchion	촌장의 폴쳔
老舊卡斯卡拉劍	Old Kaskara	오래된 카스카라
