瓦卡麗涅女神像	Statue of Goddess Vakarine	여신 바카리네의 상
選擇	Select	선택
選擇群組	Select Group	그룹 선택
選擇地區	Select Zone	존 선택
轉職選擇	Select Advancement	전직 선택
邪靈祭司大師	Bokor Master	보코르 마스터
女神拉伊瑪	Goddess Laima	여신 라이마
威廉	William	윌리엄
坎伯萊	Cyneburg	캔버그
流浪商人	Wandering Merchant	방랑 상인
克里斯蒂娜	Cristina	크리스티나
選擇任務	Select Quest	퀘스트 선택
變更任務狀態	Modify Quest Status	퀘스트 상태변경
強制開始？	Force start?	강제 시작?
要刪除的道具	Items to be deleted	삭제할 아이템
選擇GenType 	Select GenType	GenType 선택
選擇座標	Select Coordinates	좌표 선택
騎士 堤塔斯	Knight Titas	기사 티타스
士兵 穆迪	Soldier Moody	병사 무디
聯合調查團 史考特	Joint Investigation Team - Scott	합동조사단 스캇
這些到底是什麼？	What in the world do you call this?	이게 다 도대체 뭐랍니까.
雷那	Lena	레나
赫奴利卡	Henrika	헤느리카
佈告欄	Bulletin Board	알림판
淡定的未亡人	Indifferent Widow	담담한 미망인
休息中的士兵	Resting Soldier	휴식중인 병사
夏奧雷伊警備兵	Siauliai Guard	샤울레이 경비병
4年前的神樹之日，他們也沒有回應我們的祈禱，不是嗎？	Isn't it true that the goddesses haven't responded to any of our prayers since Medzio Diena four years ago?	4년 전의 신수의 날에도 우리들의 기도에 아무런 응답이 없으셨잖아요?
東方森林警戒兵	Eastern Woods Sentinel	동쪽 숲 경계병
安全守則	Safety Instructions	안전 수칙
補給基地士兵	Supply Base Soldier	보급기지 병사
農場警戒兵	Farm Sentinel	농장 경계병
柯拉佩達警備兵隊長	Klaipeda Guard Captain	클라페다 경비병 대장
柯拉佩達少女	Klaipeda Girl	클라페다 소녀
柯拉佩達貴婦人	Klaipeda Lady	클라페다 귀부인
重裝步兵大師	Hoplite Master	하플라이트 마스터
機械工匠	Machine Worker	기계 제작 장인
隱退的獵人	Retired Hunter	은퇴한 사냥꾼
做陶器的老人	Old Potter	도자기 빚는 노인
雙酬傭兵大師	Doppelsoeldner Master	도펠죌트너 마스터
海賊大師	Corsair Master	커세어 마스터
岩石	Boulder	바위
魔法研究資料	Magical Research Material	마법 연구 자료
不知名盜賊的碑石	Forgotten Thief's Monument	이름 모를 도둑의 비석
教訓的碑石	Commanding Monument	교훈의 비석
魔王傑斯堤	Demon Queen Gesti	마왕 제스티
柯拉佩達引導兵	Klaipeda Officer	클라페다 안내병
想馬上移動到柯拉佩達入口嗎？{nl}你再考慮一下吧。	Do you want to head to Klaipeda's gate right away?	클라페다 입구로 바로 이동하고 싶은 건가?{nl}잘 생각해 보게.
臨時營運者	Temporary Operator	임시운영자
追隨者阿爾吉斯	Follower Algis	추종자 알기스
朋德爾	Pawndel	폰델
有什麼事？	What's up?	무슨 일인데?
真的嗎？	Really?	정말?
朋德	Pawnd	폰드
是什麼事情？	What happened?	무슨 일이야?
現在該做什麼呢？	So what do I do now?	이제 뭘 해야하지?
是這裡沒錯嗎？	Is this the right place?	여기가 맞아?
說明中	Explaining	설명 중
盜墓者胡貝爾塔斯	Grave Robber Hubertas	도굴꾼 후베르타스
盜墓者班賈米那斯	Grave Robber Benjaminas	도굴꾼 벤자미나스
某市民的日記	A Citizen's Journal	어느 시민의 일기
某哨兵的日記	A Sentry's Report	어느 파수병의 일지
某商人的日記	A Trader's Log	어느 상인의 일기
某將校的紀錄	An Officer's Record	어느 장교의 기록
寒冰法師科斯塔斯	Cryomancer Kostas	크리오맨서 코스타스
盜墓者魯特爾巴斯	Grave Robber Rudolfas	도굴꾼 루돌파스
王國軍將校的紀錄	A Royal Officer's Record	왕국군 장교의 기록
都市居民的紀錄	Townsperson's Document	도시 주민의 기록
王國軍行政官的紀錄	Army Official's Report	왕국군 행정관의 기록
市民的紀錄	Citizen's Record	시민의 기록
盜墓者斯提波納斯	Grave Robber Stephonas	도굴꾼 스테포나스
王國軍羅普戴爾	Royal Army Guard Rofdel	왕국군 로프델
邪靈祭司艾提達	Bokor Edita	보코르 에디타
鍊金術士莎莉亞莫納斯	Alchemist Saliamonas	알케미스트 살리아모나스
盜墓者阿曼達	Grave Robber Amanda	도굴꾼 아만다
快速移動	High Speed Movement	쾌속 이동
被撕掉的信件	Torn Letter	찢어진 편지
休假中的補給兵	Off-duty Supply Trooper	휴가중인 보급병
追隨者諾瑪	Follower Norma	추종자 노마
安塔列斯	Antares	안타레스
女神加比婭	Goddess Gabija	여신 가비야
拍賣師	Auctioneer	경매사
感性的貓頭鷹	Sensitive Owl	감성적인 부엉이
士兵彼得	Soldier Pitt	병사 피트
士兵布蘭	Soldier Bran	병사 브란
訓練兵莫爾特	Training Soldier Malt	훈련병 몰트
指揮官賴伊蒙特斯	Commander Raimondas	지휘관 라이몬다스
採藥者	Herb Broker	약초꾼
有什麼事來找我嗎？	Do you need anything?	저에게 무슨 볼일이라도?
教官尼克	Instructor Nicker	교관 닉커
民間軍務員	Private Personnel	민간 군무원
約克	York	요크
攤販	Street Vendor	노점 상인
碑文	Epitaph	비문
通知	Notice	알림
碑石	Gravestone	비석
士兵的日記	A Diary of a Soldier	병사의 일지
札卡里耶爾的勇猛守護者	Zachariel's Brave Protector	자카리엘의 용맹한 수호자
