警戒兵	Sentinel	경계병
藏匿中的男子	Man in Hiding	숨어있는 남자
無法戰鬥時可以在原地復活的	To revive on the same spot you'll need the 	전투 불능 시 제자리 부활이 가능한 
購買方法是將想要的道具	Click the 	구매 방법은 원하시는 아이템을 
裝填	Add	담기
傳達員杜奈斯	Receptionist Donnes	접수원 도네스
秘密守護者	Secret Guardian	비밀의 수호자
聯絡官 尼爾斯	Liaison Officer Niels	연락관 닐스
記錄官 尤那斯	Archivist Jonas	기록관 요나스
史學家 菲歐德	Historian Viode	사학자 비어드
史學者凱佩克	Historian Kepeck	사학자 케펙
亞希拉斯尤那斯	Ahylas Jonas	아힐라스 요나스
庫斯塔斯的弟子	Disciple of Gustas	구스타스의 제자
庫斯塔斯尤那斯	Gustas Jonas	구스타스 요나스
考古學家 戴志克	Archaeologist Dezic	고고학자 데지크
技術員 哈伊奈恩	Technician Heinen	기술자 하이넨
可以拜託你去稍微清理一下怪物嗎？	Could you take care of them? 	좀 정리를 부탁해도 될까?
羅藍塔斯尤那斯	Rolandas Jonas	롤란다스 요나스
助手 艾伊里奈	Assistant Airine	조수 아이리네
傭兵 葛雷恩	Mercenary Glen	용병 글렌
新王陵研究員	New Researcher	신입 왕릉 연구원
但是峽谷中沒什麼植物，怎麼會有這麼多怪物呢？	Why are there so many monsters in the canyon when there is so little plant life around?	그런데 협곡에는 식물들도 별로 없는데 어째서 몬스터가 이렇게나 많은 걸까요?
我拜託你的事進展如何？ 還沒完成嗎？	What happened to my request? Is it not done yet?	제가 부탁한 것은 어떻게 되었나요? 아직인가요?
藥材商	Medicine Dealer	약재상
商人 達比歐	Merchant Davio	상인 다비오
傭兵 米勒塔	Mercenary Mirta	용병 미르타
拜杜塔斯	Vaidotas	바이도타스
村莊大嬸	Village Aunt	마을 아주머니
你是來救我們的吧？ 對吧？	You've come to save us? Right?	우릴 구하러 온 거지? 그렇지?
村莊少女	Village Girl	마을 소녀
藥師小姐	Pharmacist Lady	약사 아가씨
士兵 傑伊司	Soldier Jace	병사 제이스
士兵 艾德卡	Soldier Edgar	병사 에드가
柯拉佩達區警備兵隊長	Klaipeda Guard Captain	클라페다 방면 경비병 대장
柯拉佩達 警備兵	Klaipeda Guard	클라페다 경비병
補給負責官	Supply Officer	보급 담당관
拉伊摩那斯	Laimonas	라이모나스
戰鬥組長	Battle Commander	전투 조장
搜查兵	Search Scout	수색병
啟示者該來的地方不是這裡而是柯拉佩達吧？	Shouldn't a Revelator be heading to Klaipeda instead of hanging around here?	계시자들은 여기가 아니라 클라페다로 가야 하는 것 아닙니까?
柯拉佩達居民	Klaipeda Resident	클라페다 주민
戰鬥兵	Trooper	전투병
騎士 阿拉斯	Knight Aras	기사 아라스
前哨基地警戒兵	Outpost Sentinel	전초기지 경계병
作戰負責人	Operations Officer	작전 담당관
補給兵	Supply Soldier	보급병
東邊森林搜查兵	Eastern Woods Search Scout	동쪽 숲 수색병
礦夫	Miner	광부
傭兵利特	Mercenary Lindt	용병 린트
工兵大師	Sapper Master	새퍼 마스터
聖者大師	Sadhu Master	사두 마스터
雷克西波	Rexipher	렉시퍼
技術員歐萊昂	Technician Orion	기술자 오라이온
聯絡官尼安	Liaison Officer Nian	연락관 니안
史學家亞德 	Historian Adelle	사학자 아델
考古學家普利特卡	Archaeologist Friedka	고고학자 프리드카
圓盾劍士次級大師	Rodelero Submaster	로델레로 서브  마스터
礦山村莊村長	Miners' Village Mayor	광산마을 촌장
女神薩勒	Goddess Saule	여신 사울레
王陵奠基石	Royal Mausoleum Foundation Stone	왕릉 초석
王陵魔方使用法	Royal Mausoleum Cube Manual	왕릉 큐브 사용법
守護體系整頓法	Defense System Manual	수호체계 정비법
守護者的作用	Guardian's Role	수호자의 역할
守護者的石像	Guardian Stone Statue	수호자의 석상
王陵設計圖	Royal Mausoleum Blueprint	왕릉 설계도
王陵魔力抑制器說明書	Royal Mausoleum Regulatory Magic Manual	왕릉 마력 억제기 설명서
王陵記錄書	Royal Mausoleum Archives	왕릉 기록서
庫班	Coben	코벤
石匠凱諾林	Stonemason Canolyn	석공 캐놀린
塔拉瑪爾茲	Tara Miles	타라 마일즈
祕密場所說明書	Secret Location Manual	비밀장소 설명서
王室秘寶守護者	Guardian of the Royal Family's Secret Treasure	왕실 비보 수호자
看守者梅透	Watcher Matthew	파수꾼 매튜
看守者帕吉爾	Watcher Basil	파수꾼 바질
看守者艾倫	Watcher Allen	파수꾼 알렌
追隨者凱耶陀納斯	Follower Kayetonas	추종자 카예토나스
看守者凱奈司	Watcher Kenneth	파수꾼 케네스
看守者艾拉	Watcher Erra	파수꾼 에라
看守者里凱	Follower Rikke	파수꾼 리케
追隨者阿爾馮薩斯	Follower Alfonsas	추종자 알폰사스
追隨者帕伊達史	Follower Vaidas	추종사 바이다스
追隨者帕伊達史	Follower Vaidas	추종자 바이다스
追隨者托瑪斯	Follower Tomas	추종자 토마스
追隨者堤貝里尤斯	Follower Tiberius	추종자 티베리유스
追隨者多納塔史	Follower Donatas	추종자 도나타스
金石學者雷蒙德	Epigraphist Raymond	금석학자 레이몬드
會是誰紀念那種叛亂者呢？ 會不會是有其他理由呢？	I wonder who mourned that traitor? Don't you think there would be a different reason?	누가 그런 반란자를 추모했는지. 이유가 따로 있지 않을까요?
寶物獵人艾當	Treasure Hunter Eden	보물사냥꾼 에당
金石學者史密德	Epigraphist Schmid	금석학자 스미드
邪靈術師特拉修斯	Necromancer Drasius	사령술사 드라슈스
利迪亞夏班的碑石	Monument of Lydia Schaffen	리디아 샤펜의 비석
徘徊的靈魂	Wandering Spirit	배회하는 영혼
作戰命令書	Operation Order	작전 명령서
警備兵利波	Guard Leaper	경비병 리퍼
追隨者巴伊杜堤斯	Follower Vaidutis	추종자 바이두티스
看守者莫爾黎	Watcher Molly	파수꾼 몰리
看守者默利	Watcher Molly	파수꾼 모리
到底神聖之地發生什麼事了呢？	I really wonder what has become of this sacred land?	도대체 신성한 땅에 무슨 일이라도 생긴 걸까?
史學家 寇林	Historian Colin	사학자 콜린
王陵書桌	Royal Mausoleum Desk	왕릉 책상
未知的存在	Unknown being	알 수 없는 존재
治療師小姐	Healer Lady	치유사 아가씨
礦山所長 布林肯	Mine Manager Brinker	광산 소장 브링커
看守者 哈梅史	Watcher James	파수꾼 하메스
警備兵	Security Guard	경비병
哥拉斯	Gorath	고라쓰
巴拉特	Badat	바다트
石匠 皮波堤	Stonemason Pipoti	석공 피포티
凱賓	Kevin	케빈
雕刻家 喜爾達	Sculptor Hilda	조각가 힐다
補給隊隊長 皮歐	Supply Commander Vio	보급대 대장 비오
傭兵 埃塔	Mercenary Eta	용병 에타
考古學家 勞迪	Archaeologist Laudi	고고학자 라우디
莫勒庫斯‧尤那斯	Morkus Jonas	모르쿠스 요나스
探險家 巴奇斯	Adventurer Varkis	탐험가 바키스
史學家雷克西波	Historian Rexipher	사학자 렉시퍼
聯絡官 培爾	Liaison Officer Bale	연락관 베일
呼，這麼多資料要何時才能整理完呢？	How can I put all these materials in order?	어휴, 이 많은 자료를 언제 다 정리한담?
受傷的史學家 勞拉斯	Wounded Historian Laulas	부상당한 사학자 라우라스
露克立斯紀念碑拓本	Ruklys Memorial	루클리스 추모비 탁본
無名碑	Nameless Monument	무명비
還有事情嗎？	You still have business here?	아직 볼 일이 남았나?
無精打采的警備兵	Powerless Security Guard	기운 빠진 경비병
雷克西波到底想做什麼呢？	What will Rexipher do?	렉시퍼는 도대체 무엇을 하려는 걸까요?
信徒 奧比狄司	Believer Alvydas	신도 알비다스
信徒 拉敏塔	Believer Raminta	신도 라민타
信徒 埃帕爾達史	Believer Evaldas	신도 에발다스
信徒 查內塔	Believer Zaneta	신도 자네타
信徒 希瑪史	Believer Simas	신도 시마스
巴奇斯靈魂	Varkis' Soul	바키스 영혼
紀念碑	Monument	추모비
建築師勞迪	Architect Laudi	건축가 라우디
你在這裡做什麼呢？	What are you doing here?	자네 여기서 뭘 하고 있는 건가?
獵人	Hunter	사냥꾼
