皮爾力巴斯直屬隊員	Philipas' Soldier	필리파스 직속 부대원
指揮官 巴塞寧	Commander Vacenin	지휘관 바세닌
上級長官 皮爾力巴斯	Senior Officer Philipas	선임장교 필리파스
軍官皮爾利克斯	Officer Felix	장교 필릭스
脆弱的貓頭鷹雕像	Weak Owl Sculpture	약한 부엉이 조각상
恐懼的貓頭鷹雕像	Scared Owl Sculpture	두려운 부엉이 조각상
老實的貓頭鷹隊長	Sincere Owl Sculpture	성실한 대장 부엉이
意志的貓頭鷹雕像	Devoted Owl Sculpture	의지의 부엉이 조각상
痛苦的貓頭鷹雕像	Troubled Owl Sculpture	괴로운 부엉이 조각상
部下貓頭鷹3	Subordinate Owl 3	부하 부엉이3
我們只是為了人類的靈魂而存在的嗎？	Do we exist only for guiding humans' souls?	우리는 인간의 영혼을 위해서만 존재하는 걸까?
士兵 杜米尼克	Soldier Dominic	병사 도미니크
士兵 山姆森	Soldier Samson	병사 샘슨
士兵 福爾特	Soldier Poulter	병사 폴터
指揮官 朱利安	Commander Julian	지휘관 줄리안
你能不能去貝爾圖伊交叉路上支援指揮官歐路克的部隊呢？	Won't you support Commander O'Rourke's unit at the Veltui Crossroads?	벨투이 교차로에서 지휘관 오루크 부대를 지원해주지 않겠나?
指揮官 歐路克	Commander O'Rourke	지휘관 오루크
離開的貓頭鷹雕像	Substitute Owl Sculpture	떠나가는 부엉이 조각상
士兵 卡爾路斯	Soldier Kallus	병사 칼루스
士兵 戴伊紐斯	Soldier Dainus	병사 다이뉴스
定居的貓頭鷹雕像	Settled Owl Sculpture	정착한 부엉이 조각상
人類的靈魂為什麼會有如此多的東西呢？	Why do human souls contain so many things?	인간의 영혼은 왜 그리 많은 것을 품고 있을까요?
老實的貓頭鷹隊長雕像	Earnest Owl Chief Sculpture	성실한 대장 부엉이 조각상
變弱的貓頭鷹雕像	Weak Owl Sculpture	약해진 부엉이 조각상
我的同伴們能夠平安抵達奧施莉奈女神身邊嗎？	Do you think my allies can reach Goddess Ausrine safely?	제 동료들이 아우슈리네 여신께 무사히 닿을 수 있을까요?
暈倒的傳令	Fallen Messenger	쓰러진 전령
資深修道士佛特斯	Senior Monk Potos	선임 수도사 포토스
修道士瓦以利	Monk Wiley	수도사 와일리
獵人雷伊娜	Hunter Reina	헌터 레이나
資深修道士馬勒寇	Senior Monk Marko	선임 수도사 마르코
獵人納塔夏	Hunter Natasha	헌터 나타샤
獵人巴斯提爾	Hunter Bastille	헌터 바스틸
修道士查德	Monk Chad	수도사 채드
資深修道士古斯	Senior Monk Goss	선임 수도사 거스
修道士勇斯	Monk Jones	수도사 욘스
修道士傑普利	Monk Jeffrey	수도사 제프리
修道士莫漢	Monk Moheim	수도사 모하임
警備 兵萊爾	Guard Lyle	경비병 라일
警備兵 諾瑪比斯	Guard Nomabis	경비병 노마비스
時空法師 莎比納	Chronomancer Sabina	크로노맨서 사비나
王國軍 蕾堤亞	Royal Army Guard Retia	왕국군 레티아
警備兵 葛普坦	Guard Gofden	경비병 고프덴
副官 漢斯	Adjutant General Hans	부관 한스
葳荷米娜凱利奧特	Wilhelmina Carriot	빌헬미나 캐리어트
能幫忙從奈勃基亞城堡的怪物身上取得石化樣本嗎？	Can you defeat the monsters in Neiveikiama Castle and get me petrified samples?	네베키아 성채의 몬스터에게서 석화 표본을 구해 줄 수 있겠나?
我正在考慮，你能以後再來嗎？	I'm still thinking so can you come back later?	생각 중이니까 나중에 다시 와주겠어?
弟子萊恩斯	Disciple Laius	제자 라이어스
弟子侯內斯	Disciple Hones	제자 호네스
只有你是解救加比婭女神和魔法師之塔的唯一希望。{nl}準備好了嗎？	Are you ready?	당신만이 가비야 여신과 마법사의 탑을 구할 수 있는 유일한 희망이예요.{nl}준비는 되셨나요?
後防部隊士兵	Rearguard Unit Soldier	후방부대 병사
會不會從畢拉空身上搜括黑煤粉反而比較好？	Would it have been better to scrape off the coal powder from Phyracon?	차라리 피라콘에게서 흑탄 가루를 긁어내는 게 나았을까?
塔上還有很多怪物嗎？	Are there still a lot of monsters in the tower?	아직도 탑에 몬스터가 많나요?
詭異的燈	Suspicious Lamp	수상한 램프
裝備商人約魯基斯	Equipment Merchant Yorgis	장비 상인 요르기스
雜貨商人穆拉斯	Item Merchant Muras	잡화 상인 뮤라스
軍官 達扭斯	Officer Danus	장교 다뉴스
士兵 羅伊	Soldier Roy	병사 로이
分隊長 約翰	Squad Commander Johan	분대장 요한
達扭斯的偵察兵	Danus' Scout	다뉴스의 정찰병
亞佳伊拉弗羅里的碑文	Epitaph of Agailla Flurry	아가일라 플러리의 비문
