槍彈者大師	Bullet Marker Master	불릿 마커 마스터
你能幫忙取得我拜託你的東西嗎？	Are you prepared for what I am going to request of you?	그러니 내가 부탁하는 걸 좀 구해주지 않겠어?
龍騎士大師	Dragoon Master	드라군 마스터
咒術師大師	Warlock Master	워록 마스터
妖術師大師	Featherfoot Master	페더풋 마스터
重砲手大師	Cannoneer Master	캐노니어 마스터
火槍手大師	Musketeer Master	머스킷티어 마스터
瘟疫醫師大師	Plague Doctor Master	플레이그 닥터 마스터
卡巴拉大師	Kabbalist Master	카발리스트 마스터
忍者大師	Shinobi Master	시노비 마스터
薩勒瑪	Sarma	사르마
你有找到甚麼蛛絲馬跡嗎？	Have you found out something?	뭔가 알아낸 게 있어?
能啟動魔法的暗號就是 	The magic sentence is	마법을 발동할 수 있는 문장은 
順利取得王之黃寶石了嗎？{nl}	You've acquired the Yellow Jewel?	왕의 노란 보석은 무사히 손에 넣었어?{nl}
卡雷伊瑪斯監獄的啟示	Revelation of Kalejimas Prison	칼레이마스 감옥의 계시
牆壁的塗鴉	Writings on the Wall	벽의 낙서
研究員艾達斯	Researcher Adas	연구원 에이다스
研究員彼特	Researcher Veed	연구원 비드
研究員席蕾亞	Researcher Sireah	연구원 시레아
你都看到了嗎？	Are you back?	보고 오셨나요?
奎波爾 密爾達	Kupole Milda	큐폴 밀다
到底是因為什麼，怪物們才這樣聚集過來了？	What could be making the monsters gather like that?	무엇 때문에 몬스터들이 이렇게 몰려드는 걸까요?
還有看出甚麼了嗎？	Did you find anything else?	뭔가 더 알아낸 게 있으신가요?
補給兵的靈魂	Supply Soldier's Spirit	보급병의 영혼
城壁看守士兵的靈魂	Castle Wall Soldier's Spirit	성벽 병사의 영혼
偵察兵的靈魂	Scout Soldier's Spirit	정찰병의 영혼
碎片都收集完成了嗎？{nl}	Did you bring the sculptures?	조각들은 모아오셨나요?{nl}
麥斯帕斯拉部隊長高曼	Mesafasla Assistant Commander Gomen	메사파슬라 부대장 고먼
補給路的石化探測器是否正常運作呢？{nl}	Is the detector at the supply route working alright?	보급로의 석화탐지기는 제대로 작동을 하고 있는 걸까요?{nl}
守墓人布魯納爾	Forest Keeper Brunonas	산지기 브루노나스
採藥者 柴吉李斯	Herbalist Cesaris	약초꾼 채자리스
樵夫 道維達斯	Lumberjack Dowedas	나무꾼 도위다스
時空法師艾伊達	Chronomancer Ida	크로노맨서 아이다
奎波爾 麗娜	Kupole Lina	큐폴 리나
奎波爾艾格雷	Kupole Aeglei	큐폴 에글레
難民代表摩爾庫斯	Refugee Representative Morcus	피난민 대표 모르쿠스
硬漢艾維德斯	Ejuidas	에이위다스
小女孩嗎？{nl}那小女孩的名字叫做赫莉塔？	A child? The little one is called Willitte?	꼬마?{nl}그 아이 이름이 윌리타?
小女孩赫莉塔	Little Willitte	꼬마 윌리타
難民希達	Refugee Hilda	피난민 힐다
法師 突爾利斯	Wizard Tulis	위저드 튤리스
村莊祭司凱拉依默斯	Village Priest Chaleims	마을 사제 칼레임스
村莊居民 德亞伊蘭	Villager Deailan	마을 주민 드아일란
村莊居民 阿勒基斯	Villager Argis	마을 주민 아르기스
村莊居民 艾密斯	Villager Emils	마을 주민 에밀스
奎波爾席烏太	Kupole Siute	큐폴 시우테
信徒 亞武努斯	Believer Jaonus	신도 야우뉴스
信徒 科斯塔斯	Believer Costas	신도 코스타스
雕刻師亞捷爾	Dievdirbys Asel	딥디르비 아젤
嘉魅爾蘭	Jamelhan	자멜란
士兵 加爾蘭斯	Soldier Guylens	병사 가일랜스
士兵 凱蘭斯	Soldier Callans	병사 칼란스
士兵 加爾連斯	Soldier Guylens	병사 가일렌스
士兵 安德雷	Soldier Andre	병사 안드레
副隊長 必拉斯	Assistant Commander Vilas	부대장 빌라스
你的真面目為何?	Who are you?	자네 정체가 뭔가?
偵查兵寶亞斯	Scout Boas	정찰병 보아스
士兵 海藍斯	Soldier Hyrance	병사 하이란스
士兵 凱爾倫	Soldier Kuijlen	병사 카일른
士兵 哈爾倫	Soldier Heulen	병사 하일른
副隊長是想對我們說什麼呢？	What does the Assistant Commander want to say to us?	부대장님이 저희에게 무슨 말씀을 하시려는 걸까요?
礦山工人	Mine Worker	광산 인부
治療劑做好了嗎？	Did you finish the antidote?	치료제는 어떻게 됐습니까?
附魔師大師	Enchanter Master	인챈터 마스터
道士大師	Taoist Master	도사 마스터
新審判者大師	Inquisitor Master	인퀴지터 마스터
奎波爾 蕾妲	Kupole Leda	큐폴 레다
艾高斯修道士	Elgos Monk	엘고스 수도사
第1代王位繼承紛爭記的忍者大師 - 第1卷	The Shinobi Master of the First Battle for the Throne - Volume 1	제1차 왕위 계승분쟁기의 시노비 마스터 - 제1권
鬥牛士助手	Matador's Assistant	마타도르 조수
死靈法師蕾米亞	Necromancer Lemija	네크로맨서 레미야
商團工人	Merchant Alliance Worker	상단 일꾼
迪比利斯制馭所魔力源	Devries Controller Spell Source	디브리스 제어소 마력원
中央研究室 魔力源	Central Laboratory's Magic Source	중앙연구실 마력원
研究者聚會所魔力源	Researcher Auditorium's Magic Source	연구자 공회당 마력원
高原士兵 巴斯凱茲	Soldier Baskez	고원병사 바스케즈
傳令兵羅傑斯	Military Courier Rochez	연락병 로체스
補給 羅達	Supply Officer Ronda	보급병 론다
帳篷中的患者	Patient in the Tent	텐트 속의 환자
魔法師護拉斯	Mage Horace	마법사 호라스
高原士兵莫提爾	Soldier Motimer	고원병사 모티머
所以，您可以把那些面具給我嗎？	So can't you give me those masks?	그래서 그런데 그 가면들을 제게 주실 수 없겠습니까?
異地居民馬克	Outsider Mark	타지 주민 마크
朝聖者伐利亞	Pilgrim Phylia	순례자 필리아
朝聖者安潔拉	Pilgrim Angela	순례자 안젤라
修道士艾丹	Monk Ethan	수도사 에단
治療中的朝聖者	Pilgrim in Treatment	치료 중인 순례자
把你所觀察的告訴布魯特斯信徒吧。	What happened with Follower Brutus?	브루투스 신도님께 관찰하신 내용을 알려주세요.
朝聖者巴德斯	Pilgrim Vados	순례자 바도스
朝聖者大衛	Pilgrim David	순례자 데이비드
朝聖者依萊伊	Pilgrim Eli	순례자 일라이
朝聖者喬治	Pilgrim George	순례자 조지
你說這就能證明你的不在場證明嗎？	Were there any evidences to prove his alibi?	자신의 행적을 증명할만한 것이 있답니까?
希望你能幫我消滅周圍的怪物。	Could you defeat nearby monsters?	주변의 몬스터라도 처치해 주셨으면 합니다.
能幫我把力量聚集到鏡子上嗎？	Could you help me recharge the mirror?	거울에 힘을 모으는 것을 도와주실 수 있을까요?
沒力氣的朝聖者	Tired Pilgrim	기운없는 순례자
這黑色水晶到底是甚麼呢？	What was that black crystal?	이 검은 수정은 정체가 뭐였을까요?
在我們開始笛隊之前，不是該先好好打聽有關教團的情報嗎？	Don't you think that you should learn more about the Order instead of simply being hostile towards it?	먼저 적대시하기보다 우선 교단에 대해 잘 알아볼 필요가 있을 것 같지 않나요?
我也不清楚現在情況怎樣了。	How would I know if something has happened to her since then?	지금쯤 어떻게 되었을지는 저도 잘 모르겠는데요?
孤零零的墓碑	Remote Tombstone	외딴 묘비
準備好了嗎？	Are you ready?	준비 되셨나요?
你可以幫我打開嗎？	Would you perhaps open it for me?	그대가 열어봐 주지 않겠는가?
王室族譜概要	Abridged Royal Lineage	간추린 왕실의 계보
佩迪米安 銀幣	Fedimian's Silver Coins	페디미안 은화
魯希德 萬托斯芬的 備忘錄	Lucid Winterspoon's Memoranda	루시드 윈터스푼 비망록
巴爾寇與金礦小鬼	Barconsi and the Gold Vein Goblin	바로콘시와 황금광맥의 도깨비
搜尋修道士	Search for the Monk	수도사 수색
搜查牆壁那邊	Searching past the Wall	벽 너머 수색
飢餓	Starved	굶주림
村莊居民奈拉	Villager Nella	마을 주민 넬라
村莊居民 詹姆斯	Villager James	마을 주민 제임스
艾高斯修道院長	Elgos Abbot	엘고스 수도원장
你來幫忙阻擋魔族了？	Are you here to help us stop the demons?	마족을 막는 데 힘을 보태러 오셨군요?
到底是裝了什麼東西，還得將它封印起來呢？	What could possibly be inside it for someone to go this far to seal it?	과연 어떤 물건이 들어 있길래 봉인까지 해둔걸까요?
吵鬧的貓頭鷹雕像	Raucous Owl Sculpture	떠들썩한 부엉이 조각상
著急的貓頭鷹雕像	Hasty Owl Sculpture	다급한 부엉이 조각상
孤獨的貓頭鷹雕像	Lonely Owl Sculpture	외로운 부엉이 조각상
修練生雷力德	Trainee Leryd	수련생 레리드
雕刻師魯托藍	Dievdirbys Ruthalen	딥디르비 루탈렌
雕刻師埃索爾	Dievdirbys Aisol	딥디르비 에솔
安靜的貓頭鷹雕像	Quiet Owl Sculpture	조용한 부엉이 조각상
繼承者 塔魯爾	Loremaster Daroul	전승자 다룰
繼承者 貝爾塔	Loremaster Berta	전승자 베르타
盡力了的貓頭鷹雕像	Exhausted Owl Sculpture	힘이 다한 부엉이 조각상
科斯塔斯	Costas	코스타스
還是願意幫助我嗎？{nl}	You're still here?	그래도 나를 돕겠다고?{nl}
真的都驅趕走了嗎？	What? You really drove them off?	뭐야 정말 다 몰아낸 거야?
布魯納爾要你去的嗎？	Brunonas told me to go?	브루노나스가 가 보라고 했다고?
血液樣本怎麼樣了呢？	How did the blood samples react?	혈액 샘플이 어떻게 되었나요?
阿依達大人是怎麼推測的呢？{nl}	What did Ida think of all this?	아이다님의 추측은 어떻게 되었는가?{nl}
居民代表 摩爾庫斯	Head Villager Morkus	주민대표 모르쿠스
士兵都消失到哪去了呢？..	Where did all the soldiers go?	병사들은 모두 어디로 사라졌을까..
士兵們間到底是發生甚麼事了呢？..	Whatever happened to the soldiers?	병사들 사이에 무슨 일이 일어났던 걸까요..
這樣把好好的人弄成這樣幹嘛呢？	What if the people get harmed?	이러다 사람까지 이렇게 만드는 게 아닐까?
痕跡..現在怎樣了呢？	What happened to the trace?	흔적은.. 어찌 되었습니까?
你說你想學習刀騎兵的戰鬥技巧嗎？	Are you interested in the combat skills of a hackapell?	하카펠의 전투 기술을 배우고 싶다고?
神射手大師	Mergen Master	메르겐 마스터
就是你要學習神射手的弓箭術嗎？	Do you wish to learn the archery of a mergen?	메르겐의 궁술을 배우고자 하는가.
你準備好要被認可為真正的雙酬傭兵了嗎？	Are you ready to be acknowledged as a true Doeppelsoeldner?	진정한 도펠죌트너로 인정 받을 준비가 되었나?
槍騎兵大師	Lancer Master	랜서 마스터
怎樣？要挑戰看看嗎？	How does that sound? Interested?	어때, 도전해보겠어?
現代大師 總攬	Encyclopedia of Masters	현대 마스터 총람
找我有核貴幹!?	What can I do for you?	무슨 일로 저를 찾아오셨나요?
可以再來幫我一下嗎?	Would you be willing to help a bit more?	한번 더 저를 도와주시겠어요?
巴以卡	Baiga	바이가
凱爾希斯的日記	Calsis' Diary	칼시스의 일기
謝爾妃	Selphie	셀피
運用槍彈者的屬性	Bullet Marker's Property Application	불릿 마커의 속성 활용
接受考驗	I'll accept the training	훈련을 받겠다고 한다
總覺得很難	It seems hard	왠지 어려울 것 같다고 한다
我沒把握	I am not confident enough	자신없다고 한다
無論什麼事我都能配合	I can do it	무엇이든 맞출 수 있다고 한다
總覺得很有壓力，我拒絕	I don't want to do it	왠지 부담스러우니 거절하자
我馬上開始	I will start right away	바로 시작하겠다고 한다
我會取得情報	I will go find the book	장부를 찾아오겠다고 한다
我下次再來	I will return next time	다음에 다시 오겠다고 한다
不退卻的勇猛[龍騎士轉職]	The Bravery That Never Backs Down [Dragoon Advancement]	물러서지 않는 용맹함[드라군 전직]
沒問題	Shouldn't be a problem	문제될 것 없다고 한다
我想避開難走的路	I wish to avoid the difficult path	어려운 길은 피하고 싶다고 한다
領導能力是基本功[聖殿騎士轉職]	Basic Leadership [Templar Advancement]	기본은 리더쉽[템플러 전직]
好像太難了	It seems too hard	너무 어려운 것 같다고 한다
可控制惡靈的力量[咒術師轉職]	The Power That Even Controls Evil Spirits [Warlock Advancement]	악령조차도 지배하는 힘[워록 전직]
我是下定決心才來的	I am ready	각오하고 왔다고 한다
好可怕，我放棄	I will quit since I am scared	두려우니 그만두겠다고 한다
詛咒中所蘊含的力量[妖術師轉職]	The Power Imbued In The Curse [Featherfoot Advancement]	저주에 깃든 힘[페더풋 전직]
最好躲開	You better back off	물러서는 게 좋을 것 같다
我要學學看	I will learn it	배워보겠다고 한다
