尤克利那斯 	Jugrinas	유그리나스
你把植物標本帶來了嗎?{nl}	Did you bring the plant samples?	식물 표본은 잘 가져오셨나요?{nl}
奎波爾 蕾妮亞	Kupole Lenja	큐폴 레냐
找到預言之書了嗎?	Did you find the Prophecy Tome?	예언의 서는 찾으셨나요?
凱都拉商團員艾達	Kedoran Alliance Merchant Alta	케도라 상단원 알타
亞奎爾拉斯	Aquilas	아퀼라스
梅坎	Mechen	메켄
傑諾納斯	Jenonhas	제노나스
造箭者大師	Fletcher Master	플레처 마스터
他將探測造箭者之箭的製作書交給你？	He gave you a recipe that will allow us to craft equipment that will help us detect the Flechette?	플레세트를 탐지 할 수 장치를 만드는 방법이 적힌 제작서를 줬단 말입니까?
只要我去世伊魯森林，就能見到拉達女神了吧？	I suppose I'll be able to meet her if I go to Seir Rainforest?	제가 세이르 숲으로 간다면 라다 여신을 만나 뵐 수 있는거겠죠?
祭司奇達斯	Priest Kidas	사제 키다스
祭司布魯納斯	Priest Brunas	사제 브루나스
好。	Ohla	올라
柯提斯	Curtis	커티스
你說這地方的難民的苦衷都聽過了？	You've listened to all of the worries of the people here?	이곳 난민들의 사정을 다 들으셨다고요?
真的嗎？	Really?	정말입니까?
亞烏雷斯	Aurlelse	아우랠스
阿爾雷克斯	Alex	알렉스
威欽斯	Wickens	위킨스
米由斯	Myuse	미유스
瑞爾	Liel	리엘
奈格爾斯	Nagles	네이글스
慧樂斯	Heres	헤르스
得雷絲	Dreis	드레이스
帕迪亞	Phadia	파디야
伊娃特	Wyatt	이와트
瓦塔斯	Waltas	왈타스
希塔斯	Ciatas	시타스
魯帕斯	Rhupas	루파스
歐得特	Ohdette	오데트
薩爾里亞	Salewya	살뤼야
丹尼爾斯	Daniels	다니엘스
看似沒有主人的狗	A Dog with no Owner	주인 없어 보이는 개
來歷不明的設施	Unidentified Facility	정체불명의 시설물
亞佳伊拉弗羅里幻影	Agailla Flurry's Spirit	아가일라 플러리 환영
亞佳伊拉弗羅里幻影	Agailla Flurry Apparition	아가일라 플러리 환영체
亞佳伊拉弗羅里幻影	Agailla Flurry Apparition	아가일라 플러러 환영체
第一 	First 	첫번째 
為何這麼慢呢？	What took you so long?	왜 이리 늦으신거죠?
躲藏的適當場所	The perfect place to hide	몸을 숨기기에 적당한 장소
