攻擊	Attack	공격
[大花草] 向周邊放毒	[Rafflesia] Spread Poison	[라플레시아] 주변으로 독 날리기
[大花草] 發射毒炸彈	[Rafflesia] Poison Bomb	[라플레시아] 독 포탄 날리기
[吉嘎利] 施展迴轉攻擊	[Zigri] Spinning Strike	[지그리] 회전공격 가하기
[吉嘎利] 跳躍後，發出衝擊波	[Zigri] Jump and Stomping Shock	[지그리] 점프해서 충격파 보내기
[普拉卡大食花] 快速撕咬	[Fragaras] Quick bite	[프라가라스] 빠르게 물어뜯기
[普拉卡大食花] 大口撕咬	[Fragaras] Large Chomp	[프라가라스] 크게 물어뜯기
基本一般攻擊	Basic Normal Attack	베이직 일반 공격
[赤紅野蜘蛛] 跳躍後劈擊	[Red Bushspider] Jump and Smash	[붉은 크루마보] 점프해서 내려찍기
[樹靈] 以單手打擊	[Tree Ghost] One-handed Strike	[나무유령] 한손으로 타격
[樹靈] 以雙手拍手	[Tree Ghost] Two-handed clap	[나무유령] 양손으로 박수치기
[樹靈] 劈擊地板	[Tree Ghost] Stomp ground	[나무유령] 바닥을 내려치기
[吉努特] 物理刺擊火屬性攻擊1次	[Zinute] Physical Pierce Fire Property Attack 1 time	[지누테] 물리 찌르기 화속성 1회 공격
[吉努特] 物理斬擊火屬性攻擊1次	[Zinute] Physical Slash Fire Property Attack 1 time	[지누테] 물리 베기 화속성 1회 공격
[吞吐利亞] 物理打擊電氣屬性攻擊1次	[Tontulia] Physical Strike Lightning Property Attack 1 time	[톤투리아] 물리 타격 전기속성 1회 공격
[吞吐利亞] 物理打擊電氣屬性攻擊2次	[Tontulia] Physical Strike Lightning Property Attack 2 times	[톤투리아] 물리 떄리기 전기속성 2회 공격
[頭盔蟲]一般攻擊2	[Helmet Bug] Normal Attack2	[투구벌레]일반공격2
[吉努特] 以單手打擊	[Zinute] One-handed Blow	[지누테] 한손으로 타격
[吉努特] 以雙手拍手	[Zinute] Two-handed clap	[지누테] 양손으로 박수치기
[吉努特] 劈擊地板	[Zinute] Ground Smash	[지누테] 바닥을 내려치기
[丹德爾] 物理刺擊雷屬性攻擊1次	[Dandel] Physical Pierce Lightning Property Attack 1 time	[단델] 물리 찌르기 뇌속성 1회 공격
[梅達奇亞] 劈擊地板	[Medakia] Ground Smash	[메다키아] 바닥을 내려치기
[霍倫] 以雙手拍手	[Wheelen] Two-handed clap	[휠렌] 양손으로 박수치기
[薩厄加] 物理打擊地屬性攻擊1次	[Sauga] Physical Strike Earth Property Attack 1 time	[사우가] 물리 타격 땅속성 1회 공격
攻擊2	Attack 2	공격2
技能	Skills	스킬
[卓柏卡布拉] 卓柏一般攻擊3	[Chupacabra] Chupa Normal attack 3	[츄파카브라] 츄파 일반 공격3
[卓柏卡布拉] 卓柏一般攻擊4	[Chupacabra] Chupa Normal attack 4	[츄파카브라] 츄파 일반 공격4
大爆發	Large explosion	대폭발
大爆發(Defence)	Large explosion (Defense)	대폭발(Defence)
[戰鬥兵] 戰鬥員攻擊	[Combat Soldiers] Combatants attack	[전투병] 전투원 공격
[戰鬥兵] 戰鬥員攻擊2	[Combat Soldiers] Combatants attack 2	[전투병] 전투원 공격2
火焰之壁	Wall of Flame	화염의 벽
地雷爆炸	Mine explosion	지뢰 폭발
猛毒爆炸。	Toxic explosion	맹독 폭발
克雷摩亞爆炸	Claymore explosion	크레모아 폭발
跳躍攻擊	Jump Attack	점프공격
生命流動	Life Stream	생명의 흐름
生命流動治療。	Life Stream Hill	생명의 흐름 힐.
冰河臨風	Glacier Wedge	빙하 쐐기
冰河臨風2連打以後。	After the 2 Glacier Wedge	빙하 쐐기 2연타 이후.
種子爆炸	Seed explosion	씨앗 폭발
火山爆發	Flame explosion	살불 폭발
暴風雪	Snowstorm	눈보라
流星強打	Meteor Bang	유성 강타
一般攻擊	Normal attack	일반 공격
劈擊	Smack Down	내려찍기
飛彈攻擊	Missile attack	미사일공격
AOS炮塔攻擊	AOS turret attack	AOS터렛 공격
[樹林妖精] 攻擊	[Woodman] attack	[우드맨] 공격
火焰蜥蜴王攻擊	Salamander attack	샐러맨더 공격
大廳石像攻擊	Hall statue attack	홀 석상 공격
大廳石像技能	Hall statue skill	홀 석상 스킬
祭司攻擊1	Priest attack 1	사제 공격 1
祭司技能1	Priest skill 1	사제 스킬 1
石像攻擊1	Attack Statue 1	석상 공격 1
治癒	Heal	힐
怪物治癒	Monster Heal	몬스터 힐
布貝礦工攻擊	Vubbe Miner Attack	부베 광부 공격
[大型柯卡特里斯]	[Big Cockatrice]	[빅 코카트리스]
[潘圖咒術師] 物理一般打擊	[Panto Shaman] Physical Normal Strike	[판토 주술사] 물리 일반 타격
[潘圖咒術師] 魔法雷屬性打擊	[Panto Shaman] Magic Lightning Property Strike	[판토 주술사] 매직 뇌속성 타격
[潘圖咒術師] 魔法雷屬性魔法	[Panto Shaman] Magic Lightning Property Magic	[판토 주술사] 매직 뇌속성 매직
[潘圖魔法師] 物理一般打擊	[Panto Wizard] Physical Normal Strike	[판토 마법사] 물리 일반 타격
[潘圖魔法師] 魔法雷屬性打擊	[Panto Wizard] Magic Lightning Property Strike	[판토 마법사] 매직 뇌속성 타격
[潘圖魔法師] 魔法雷屬性魔法	[Panto Wizard] Magic Lightning Property Magic	[판토 마법사] 매직 뇌속성 매직
[提努] 物理毒屬性 斬擊	[Tanu] Physical Poison Property Slash	[타누] 물리 독속성 베기
