凱帕	Kepa	케파
巨大凱帕	Large Kepa	대형 케파
赤紅凱帕	Red Kepa	붉은 케파
中毒凱帕	Poisoned Kepa	중독된 케파
怪物	Monster	몬스터
哈明	Hamming	하밍
奇奈希	Chinency	치넨시
變異奇奈希	Mutant Chinency	변이 치넨시
幽格普斯	Jukopus	유코푸스
藍色幽格普斯	Blue Jukopus	푸른 유코푸스
灰色幽格普斯	Gray Jukopus	회색 유코푸스
獠牙豬	Pokuborn	포쿠본
黃色獠牙豬	Yellow Pokuborn	노란 포쿠본
藍色獠牙豬	Blue Pokuborn	푸른 포쿠본
綠色獠牙豬	Green Pokuborn	초록 포쿠본
藍色波庫布	Blue Pokubu	푸른 포쿠부
報喪女妖	Banshee	밴시
赤紅報喪女妖	Red Banshee	붉은 밴시
邪惡亡靈	Evil Spirit	사악한 망령
巨大報喪女妖	Large Banshee	대형 밴시
蜂箱	Beehive	벌통
藍色蜂箱	Blue Beehive	푸른 벌통
灰色蜂箱	Grey Beehive	회색 벌통
赤紅蜂箱	Red Beehive	붉은 벌통
野蜘蛛	Bushspider	크루마보
暗黑野蜘蛛	Black Bushspider	검은 크루마보
赤紅野蜘蛛	Red Bushspider	붉은 크루마보
雪白野蜘蛛	White Bushspider	하얀 크루마보
黃色野蜘蛛	Yellow Bushspider	노란 크루마보
噁心的迪歐尼亞	Disgusting Dionia	구역질나는 디오니아
迪歐尼亞孢子	Dionia Poza	디오니아 포자
藍色普拉卡大食花	Blue Fragaras	푸른 프라가라스
暗黑普拉卡大食花	Black Fragaras	검은 프라가라스
赤紅普拉卡大食花	Red Fragaras	붉은 프라가라스
布貝鬥士	Vubbe Fighter	부베 투사
藍色布貝鬥士	Blue Vubbe Fighter	푸른 부베 투사
赤紅布貝鬥士	Red Vubbe Fighter	붉은 부베 투사
青苔泥人	Golem	골렘
灰色青苔泥人	Gray Golem	회색 골렘
水母怪	Meduja	미듀쟈
藍色水母怪	Blue Meduja	푸른 미듀쟈
綠色水母怪	Green Meduja	초록 미듀쟈
赤紅水母怪	Red Meduja	붉은 미듀쟈
水母怪幼蟲	Meduja Larva	미듀쟈 유충
機角卡洛斯	Ellaganos	엘라가노스
大黃蜂	Bite	바이트
普朗基	Puragi	푸라기
藍色普朗基	Blue Puragi	푸른 푸라기
綠色普朗基	Green Puragi	초록 푸라기
赤紅普朗基	Red Puragi	붉은 푸라기
巨大普朗基	Large Puragi	대형 푸라기
吉嘎利	Zigri	지그리
棕色吉嘎利	Brown Zigri	갈색 지그리
暗黑吉嘎利	Black Zigri	검은 지그리
赤紅吉嘎利	Red Zigri	붉은 지그리
漁人怪	Fisherman	피셔맨
